index,source_type,component_id,local_path,mobbin_url,mobbin_id,flow_id,flow_name,flow_position,image_url,query
1,flow_screen,editorial-hero-section,evidence/mobbin/flows/flow-001-onboarding-5a978c28/pos-001.webp,,,,,,,
2,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-001-onboarding-5a978c28/pos-004.webp,,,,,,,
3,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-001-onboarding-5a978c28/pos-007.webp,,,,,,,
4,flow_screen,pricing-plan-cards,evidence/mobbin/flows/flow-001-onboarding-5a978c28/pos-010.webp,,,,,,,
5,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-001-onboarding-5a978c28/pos-013.webp,,,,,,,
6,flow_screen,artifact-workbench-panel,evidence/mobbin/flows/flow-002-onboarding-0b72f658/pos-001.webp,,,,,,,
7,flow_screen,model-comparison-figure,evidence/mobbin/flows/flow-002-onboarding-0b72f658/pos-005.webp,,,,,,,
8,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-002-onboarding-0b72f658/pos-009.webp,,,,,,,
9,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-002-onboarding-0b72f658/pos-013.webp,,,,,,,
10,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-002-onboarding-0b72f658/pos-017.webp,,,,,,,
11,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-003-login-onboarding-6bb1fc63/pos-001.webp,,,,,,,
12,flow_screen,editorial-hero-section,evidence/mobbin/flows/flow-003-login-onboarding-6bb1fc63/pos-004.webp,,,,,,,
13,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-003-login-onboarding-6bb1fc63/pos-006.webp,,,,,,,
14,flow_screen,artifact-workbench-panel,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-001-60a51e1d.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,60a51e1d-540d-49ef-aab5-0d5accfb43e9,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,1,https://mobbin.com/api/mcp/short/ogmg9JvT,
15,flow_screen,model-comparison-figure,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-002-546c1d97.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,546c1d97-4ac9-4370-ae1d-d75ea4a60d12,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,2,https://mobbin.com/api/mcp/short/eP11iKtg,
16,flow_screen,model-comparison-figure,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-003-e0268ea9.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,e0268ea9-4688-446e-ba6a-162c86eb2a08,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,3,https://mobbin.com/api/mcp/short/4oNb0ASi,
17,flow_screen,model-comparison-figure,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-004-1c754042.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,1c754042-61be-4377-a3ef-0de4cf1f1614,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,4,https://mobbin.com/api/mcp/short/3mSPdXc1,
18,flow_screen,model-comparison-figure,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-005-ffcddcc8.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,ffcddcc8-6f4c-4ed3-8b92-e9995459a89a,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,5,https://mobbin.com/api/mcp/short/i4FIeD3r,
19,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-006-c8e40580.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,c8e40580-469b-46e7-8406-dded9740fc12,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,6,https://mobbin.com/api/mcp/short/FvgKP1DD,
20,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-007-94647069.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,94647069-3fcd-4059-b00c-05ce18d5515e,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,7,https://mobbin.com/api/mcp/short/M7HsRQBy,
21,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-008-6c09b77a.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,6c09b77a-20ac-4079-985a-1f04cbd27a85,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,8,https://mobbin.com/api/mcp/short/bHFA0jVf,
22,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-009-8e2ff5cb.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,8e2ff5cb-4356-41fc-839d-9bd8af65377f,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,9,https://mobbin.com/api/mcp/short/H23a2Qoq,
23,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-010-5fdc57ad.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,5fdc57ad-ad8a-483a-8a65-8f9055f76534,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,10,https://mobbin.com/api/mcp/short/uatoUtle,
24,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-011-788d6be9.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,788d6be9-7d21-4258-b7f3-c460d50a9b97,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,11,https://mobbin.com/api/mcp/short/PZseb8Iw,
25,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-012-c647a465.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,c647a465-710a-4aab-bc98-2657877e490a,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,12,https://mobbin.com/api/mcp/short/FBnPiBaK,
26,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-013-13bc4b54.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,13bc4b54-9ca5-44d6-bee5-efe7ba458eeb,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,13,https://mobbin.com/api/mcp/short/Y2RJUKwi,
27,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-014-166797e2.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,166797e2-618e-4383-8600-96fbf3c6d1b5,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,14,https://mobbin.com/api/mcp/short/TrAjjCB9,
28,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-015-e62bde97.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,e62bde97-aa96-413b-8d64-8929be04b50b,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,15,https://mobbin.com/api/mcp/short/yWvBe2xl,
29,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-016-a41f7ff3.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,a41f7ff3-6248-4a74-be37-ff9fdeced061,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,16,https://mobbin.com/api/mcp/short/IIto7MQd,
30,flow_screen,auth-onboarding,evidence/mobbin/flows/flow-0b72f658-onboarding/pos-017-38fa3752.webp,https://mobbin.com/flows/0b72f658-84df-4d18-88e3-4255d758194f,38fa3752-b84c-4e69-b9fa-e9ce2a8b16bb,0b72f658-84df-4d18-88e3-4255d758194f,Onboarding,17,https://mobbin.com/api/mcp/short/tc3j6tUK,
31,flow_screen,settings-preferences,evidence/mobbin/flows/flow-0ef2d31c-settings/pos-001-7f16eade.webp,https://mobbin.com/flows/0ef2d31c-7d69-4e04-808d-f16739338285,7f16eade-5cbc-454e-a1c0-202f5a6e8fcc,0ef2d31c-7d69-4e04-808d-f16739338285,Settings,1,https://mobbin.com/api/mcp/short/Hh6jk2hq,
32,flow_screen,settings-preferences,evidence/mobbin/flows/flow-0ef2d31c-settings/pos-002-cbcded62.webp,https://mobbin.com/flows/0ef2d31c-7d69-4e04-808d-f16739338285,cbcded62-6d00-4a25-b3f3-3cf1bb5c7be7,0ef2d31c-7d69-4e04-808d-f16739338285,Settings,2,https://mobbin.com/api/mcp/short/kQodM24F,
