index,source_type,component_id,local_path,mobbin_url,mobbin_id,flow_id,flow_name,flow_position,image_url,query
1,screen,app-shell-sidebar,evidence/mobbin/screens/screen-001-b8778e0e.webp,,b8778e0e-13d3-49a6-9f01-3680ea66249b,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
2,screen,app-shell-sidebar,evidence/mobbin/screens/screen-002-8cbe99a8.webp,,8cbe99a8-57a4-40e6-85c8-5f55712b6cf3,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
3,screen,app-shell-sidebar,evidence/mobbin/screens/screen-003-343f6a0f.webp,,343f6a0f-0e0c-4c71-9f82-3ededeb833cb,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
4,screen,document-page-editor,evidence/mobbin/screens/screen-004-042e5a4e.webp,,042e5a4e-5020-4d8a-9881-2cf392a725cd,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
5,screen,document-page-editor,evidence/mobbin/screens/screen-005-53938ada.webp,,53938ada-9d88-47b0-a8a9-b4701ff236f6,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
6,screen,command-block-insert,evidence/mobbin/screens/screen-006-84e4186f.webp,,84e4186f-a1a2-49ef-a4e8-920f341fd5a6,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
7,screen,document-page-editor,evidence/mobbin/screens/screen-007-55efaeb1.webp,,55efaeb1-9b28-4d2a-997a-9e6937a61971,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
8,screen,document-page-editor,evidence/mobbin/screens/screen-008-f496e09a.webp,,f496e09a-815b-4c2e-9253-3db3b53db191,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
9,screen,document-page-editor,evidence/mobbin/screens/screen-009-3e29040b.webp,,3e29040b-c6ed-41ac-ae8b-d421292750c1,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
10,screen,document-page-editor,evidence/mobbin/screens/screen-010-dbb48cad.webp,,dbb48cad-c5bc-49b7-9e0d-7bfe5753f7e7,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
11,screen,command-block-insert,evidence/mobbin/screens/screen-011-aa3d26d8.webp,,aa3d26d8-efe7-480a-8f98-2a531de30750,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
12,screen,document-page-editor,evidence/mobbin/screens/screen-012-19cf0f85.webp,,19cf0f85-aab5-4121-bc36-4adb9e2c27c6,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
13,screen,command-block-insert,evidence/mobbin/screens/screen-013-6a664794.webp,,6a664794-e062-4252-9d41-1d5024ef63b7,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
14,screen,command-block-insert,evidence/mobbin/screens/screen-014-fa0f3ae6.webp,,fa0f3ae6-c4cc-432f-87ba-77e66f63146e,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
15,screen,document-page-editor,evidence/mobbin/screens/screen-015-1cb65a31.webp,,1cb65a31-471c-467b-8c43-dd498c3f2825,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
16,screen,document-page-editor,evidence/mobbin/screens/screen-016-30db9399.webp,,30db9399-f574-412d-8582-9cc1f2067fcb,,,,,Notion web app document editor with sidebar blocks database workspace templates settings
